CardNumber,Date,Description,MCC_Cd,Amount,Type,Status,Transaction_ID,Carbon_Calc_f
1007-1847-0342-1858,2022-02-17,Oxford Suites,3819,1637,Credit,Cleared,f4248416-666c-47c6-86df-1c1554bb9b82,N
1162-2327-0452-3547,2022-05-11,Jumeirah Essex House,3820,3212,Debit,Cleared,d7da7a8f-bf2e-4fe8-b407-32ff63c32cd7,N
1532-0037-7363-6872,2022-03-18,Caribe Royale,3821,1139,Credit,Cleared,5a91bd10-c8cd-4115-b7e7-b1cdbf77201b,N
7474-2421-1771-5866,2022-03-05,Crossland,3822,3608,Credit,Cleared,742c5640-ac09-4d05-87e9-db9f7ea339b9,N
0022-1236-4331-4884,2022-02-26,Grand Sierra Resort,3823,3088,Debit,Cleared,2b998c19-ea25-44bf-a504-086e2394ba5c,N
5156-3222-5835-4034,2022-03-24,Aria,3824,729,Credit,Cleared,c1a6c010-918f-46a4-af6b-dd0a4db30428,N
6268-4104-8135-8547,2022-04-10,Vdara,3825,2160,Credit,Cleared,8ffce2b6-a5bc-4eec-b147-4262e07716ee,N
5546-5631-0824-4631,2022-03-22,Autograph ,3826,3643,Debit,Cleared,bb4444c6-306f-4181-bed0-8f1a6f2e568b,N
6573-1753-6586-3283,2022-04-25,Galt House,3827,1195,Credit,Cleared,8cc2bc89-70b6-4af1-9a36-905dc1442e85,N
0187-0710-0358-5866,2022-03-29,Cosmopolitan of Las Vegas,3828,2540,Credit,Cleared,14a72c1d-9fec-43a9-91d9-d04989edcfed,N
8421-4157-4756-7652,2022-03-03,Country Inn by Carlson,3829,2821,Debit,Cleared,17d67537-50bb-496e-b47b-2edb9b42a5e9,N
4202-2185-3016-1605,2022-05-16,Park Plaza Hotel,3830,769,Credit,Cleared,2c19a3bb-6457-4152-b656-67521306d43d,N
0187-0710-0358-5866,2022-04-10,Waldorf,3831,2169,Credit,Cleared,6758a07d-3447-4bde-bc52-7b90ca9be9b7,N
1331-3717-0773-2487,2022-05-19,Railroads,4011,763,Credit,Processing,9305375f-8d79-4c82-b2ea-fd6c28ff8be7,N
6422-6200-5583-3432,2022-04-15,"Local and Suburban Commuter Passenger Transportation, including Ferries",4111,1562,Credit,Cleared,eb128c85-baee-4695-8983-9afe01e86d76,N
4038-7060-5125-8207,2022-03-27,Passenger Rail (train),4112,766,Credit,Cleared,acd9158a-c697-4930-89c3-81b6496b4772,N
1114-1286-2836-3057,2022-02-28,Ambulance Services,4119,1285,Debit,Cleared,928fd0c5-386a-49cb-9442-e49585bd563f,N
1331-3717-0773-2487,2022-03-09,Taxicabs and Limousines,4121,2207,Credit,Cleared,d00722e3-b422-49b7-8f83-c9a4a2baf6df,N
5014-8505-5363-2260,2022-03-11,"Bus Lines, includes Charters/Tour Buses",4131,2662,Debit,Processing,3da66501-327a-4e13-b25d-6317bf8a354e,N
1710-0781-4286-7831,2022-02-18,"Motor Freight Carriers and Trucking-Local and Long Distance, Moving & Storage Companies, and Local Delivery",4214,2235,Debit,Cleared,1e2086c7-1401-4c46-8a6b-c11fcc299456,N
1127-7723-5843-6440,2022-04-02,"Courier Services-Air and Ground, and Freight Forwarders ",4215,2012,Debit,Cleared,2d35b207-b1ec-40c0-92a3-722733074405,N
5022-8318-8036-5438,2022-04-02,"Public Warehousing-Farm products, Refrigerated Goods, Household Goods, and Storage",4225,3366,Debit,Cleared,952ab9ea-ead4-47f4-a9af-2f89f3976ce9,N
2627-5561-2003-6528,2022-05-03,Steamship and Cruise Lines,4411,1193,Debit,Cleared,3ec1dad1-59e5-4dbd-963a-153f4caae885,N
4837-7356-8265-4327,2022-04-01,Boat Rentals and Leasing,4457,3326,Debit,Cleared,f6aa5e77-c73a-469b-a532-e08b539de8fe,N
2187-5166-8816-7885,2022-04-05,"Marinas, Marine Service, and Supplies",4468,1959,Debit,Cleared,8453aa59-b640-463a-a93a-76d04a61c478,N
2848-1740-5562-4041,2022-05-05,Airlines and Air Carriers,4511,938,Credit,Cleared,d86cbbc5-6c7b-4390-99da-ce75af135949,N
4475-8677-4266-3710,2022-03-02,"Airports, Flying Fields, and Airport Terminals ",4582,957,Debit,Cleared,edf9e47e-dd89-46e0-bbce-0534789dc4ef,N
6520-4224-1523-4421,2022-03-03,Travel Agencies,4722,3775,Credit,Cleared,e1dcc32a-f0a7-4733-8ad8-dff4e32c3176,N
6575-4613-6817-7234,2022-05-04,Package Tour Operators (Germany Only),4723,3781,Debit,Cleared,8027078c-6e4b-4a8a-8f7d-a1c39b78ba93,N
3768-5806-1760-2402,2022-03-16,Telemarketing of Travel Related Services and Vitamins,4761,1869,Credit,Cleared,255c0ec5-7a9b-4699-8e08-015fd953f4c3,N
6575-4613-6817-7234,2022-04-22,"Bridge and Road Fees, Tolls",4784,1686,Credit,Cleared,913aaf4a-1fab-4273-ae11-b2a0d602c043,N
1710-0781-4286-7831,2022-05-04,Transportation Services-not elsewhere classified,4789,4,Credit,Cleared,0583773a-dc15-4701-b0ef-d190df78f0c2,N
8520-3180-0072-7121,2022-03-31,Telecommunication Equipment and Telephone Sales ,4812,1878,Credit,Cleared,8e34dcfc-cc60-4b5b-8190-30dea561d9b7,N
2728-7313-5247-8151,2022-04-20,Special Telecom Merchant,4813,1736,Credit,Cleared,f5932664-c0d0-4984-b934-8a1be83077d7,N
7880-6862-7238-4167,2022-03-19,"Telecommunication Services, Including Local and Long Distance Calls, Credit Card Calls, Call Through Use of Magnetic-Strip-Reading Telephones, and Fax Services ",4814,235,Credit,Cleared,05c61627-f3f1-4549-92b1-63fb5d173067,N
7880-6862-7238-4167,2022-05-15,Monthly Summary Telephone Charges,4815,2633,Credit,Cleared,f18373a7-eb4c-4b19-8072-39edbba05804,N
1127-7723-5843-6440,2022-04-28,"Computer Network/Information Services and other Online Services such as electronic bulletin board, e-mail, web site hosting services, or Internet access",4816,1153,Debit,Cleared,35adf30b-9491-4509-87ef-a6975f9fce63,N
6525-6177-1224-4636,2022-04-21,Telegraph Services,4821,1914,Credit,Reconciled,a51ec6ae-4d4d-4f9f-ac98-8c2dbd29da89,N
1283-5710-1470-8321,2022-03-28,Quasi Cash - Money Transfer,4829,240,Debit,Cleared,3bdaba7e-7c81-450d-8a36-a9ad3d10fe94,N
1710-0781-4286-7831,2022-04-30,"Cable, Satellite, and Other Pay Television and Radio Services",4899,476,Credit,Cleared,61c11486-025b-4763-bc0f-7197235bb3df,N
5150-6376-4178-0685,2022-03-03,"Utilities-Electric, Gas, Water, and Sanitary",4900,2759,Credit,Cleared,0f2e6254-1cf7-4e08-8e55-d6fa616ba911,N
5660-4564-1621-2557,2022-04-25,Motor Vehicle Supplies and New Parts (Business to Business MCC),5013,1178,Debit,Cleared,5e5229b1-5029-4e05-a4a6-0346f1dd3012,N
3857-1447-6225-5173,2022-03-10,Office Furniture (Business to Business MCC),5021,2918,Credit,Cleared,47c18f1e-c18a-4915-b808-646b445f50f4,N
8212-3112-7560-1582,2022-04-13,Construction Materials Not Elsewhere Classified (Business to Business MCC),5039,3671,Credit,Cleared,0a37f3eb-dac5-4208-ab68-1bafdbb84f45,N
0373-1428-2370-0035,2022-03-13,"Photographic, Photocopy, Microfilm Equipment and Supplies (Business to Business MCC)",5044,275,Credit,Cleared,4a7f9b15-a000-4f9b-8b00-66b4b97c6cf0,N
3221-7806-4080-6767,2022-03-15,"Computers, Computer Peripheral Equipment, and Software ",5045,3670,Debit,Cleared,6e1181fd-d735-4dce-8f45-2365951f3985,N
1671-0005-4252-2213,2022-03-20,Commercial Equipment Not Elsewhere Classified (Business to Business MCC),5046,1170,Debit,Cleared,ac326701-1afb-4ae0-bd4c-c336952e8ff2,N
8520-3180-0072-7121,2022-04-14,Dental/Laboratory/Medical/Ophthalmic Hospital Equipment and Supplies,5047,3981,Debit,Cleared,4b19956a-ff2c-45da-aec8-7ccf0036b04c,N
0754-3261-0745-8353,2022-05-03,Metal Service Centers and Offices (Business to Business MCC),5051,3618,Debit,Cleared,0e1a137e-7781-4ea5-8ed7-243396fa812f,N
1671-0005-4252-2213,2022-03-02,Electrical Parts and Equipment (Business to Business MCC) ,5065,1379,Credit,Cleared,2d52f479-e6e0-43dc-ba1d-262e8927b931,N
2627-5561-2003-6528,2022-04-17,"Hardware, Plumbing, Heat Equipment and Supplies (Business to Business MCC)",5072,1372,Debit,Cleared,05477231-2cc1-4b34-94d0-9b7921d20330,N
4704-1545-0084-8177,2022-04-22,Plumbing and Heating Equipment and Supplies (Business to Business MCC),5074,951,Credit,Cleared,b57c02fb-f07c-4dd1-8b6d-2a79b45dc42e,N
6575-4613-6817-7234,2022-03-25,Industrial Supplies Not Elsewhere Classified (Business to Business MCC),5085,181,Debit,Cleared,d5e5eb22-8331-4462-9850-1e6a31b92c34,N
5156-3222-5835-4034,2022-04-12,"Precious Stones, Metals, Watches and Jewelry (Business to Business MCC)",5094,10,Credit,Cleared,d45be9ab-8b6a-4e34-b537-269c152aea9c,N
2301-4826-6816-0315,2022-05-18,Durable Goods Not Elsewhere Classified (Business to Business MCC),5099,1175,Debit,Cleared,6ada7efe-9a24-4563-9dc0-3a82da3f0926,N
5022-8318-8036-5438,2022-04-17,"Stationery, Office Supplies, and Printing and Writing Paper",5111,1217,Credit,Cleared,0380f549-4742-4c06-8fce-2adacd0018a7,N
8673-2441-5605-2407,2022-05-15,"Drugs, Drug Proprietary's, and Druggists' Sundries",5122,2902,Debit,Cleared,995651bd-959f-4b0b-9856-d88d224d6647,N
1007-1847-0342-1858,2022-03-20,"Piece Goods, Notions and Other Dry Goods (Business to Business MCC)",5131,3419,Credit,Cleared,8250cb3f-834e-49ad-a6f4-e42f4aeb9017,N
6573-1753-6586-3283,2022-05-13,"Men's, Women's and Children's Uniforms (Business to Business MCC)",5137,1595,Debit,Cleared,22d1df40-a49e-48c1-8bd0-aae70065ddf3,N
6560-1330-8228-6141,2022-03-31,Commercial Footwear (Business to Business MCC),5139,329,Credit,Cleared,90eb0f52-d535-4c32-9d66-c8bd31adea00,N
0373-1428-2370-0035,2022-03-24,Chemicals and Allied Products Not Elsewhere Classified (Business to Business MCC),5169,811,Debit,Cleared,653ede19-c504-4e38-aa4d-c50d1a1ed68b,N
3873-1011-7884-4651,2022-03-11,Petroleum and Products (Business to Business MCC),5172,3494,Credit,Cleared,f8df2603-b01b-4290-8fc8-57bf0aef4e09,N
8212-3112-7560-1582,2022-04-22,"Books, Periodicals and Newspapers (Business to Business MCC)",5192,393,Credit,Cleared,f1dfe493-eaf3-4cb7-9be9-95b5da918f79,N
3857-1447-6225-5173,2022-05-16,"Florist Suppliers, Nursery Stock & Flowers (Business to Business MCC)",5193,1425,Credit,Cleared,3152f057-fcda-4e9d-b564-70cdbeefdd52,N
3768-5806-1760-2402,2022-02-15,"Paints, Varnishes and Supplies (Business to Business MCC)",5198,1835,Credit,Processing,b0032b25-356a-4ded-85fb-7399714c3b94,N
1710-0781-4286-7831,2022-03-27,Non-durable Goods Not Elsewhere Classified (Business to Business MCC),5199,1540,Debit,Cleared,b20a7cec-0b02-49ef-a4d9-2cc7170fc918,N
8548-3137-1813-1338,2022-02-21,Home Supply Warehouse,5200,2400,Debit,Cleared,0c133b6a-b4e8-4b7b-8f8a-ee6bd7fb3337,N
2513-7800-0438-1508,2022-03-01,Lumber & Building Materials Stores,5211,1524,Credit,Processing,679bf8ab-07a2-477f-a7d7-c5b6a8bec3f5,N
3857-1447-6225-5173,2022-02-21,"Glass, Paint, and Wallpaper Stores",5231,2871,Debit,Cleared,4732915c-02bf-4cb4-861b-56d147ba708f,N
8673-2441-5605-2407,2022-04-14,"Hardware Stores, Equipment Utilities Regulated",5251,2602,Debit,Cleared,f6b6a000-444c-4cef-92d5-d03ac13c6ae1,N
0187-0710-0358-5866,2022-04-05,Nurseries and Lawn and Garden Supply Stores ,5261,2317,Credit,Cleared,f8be0a0e-61ac-4048-a9b9-79582030a059,N
1114-1286-2836-3057,2022-04-26,Mobile Home Dealer,5271,2553,Credit,Cleared,ffec860a-c8df-4515-9200-d3aa207d1e53,N
1127-7723-5843-6440,2022-04-09,Wholesale Club with or without membership fee ,5300,2217,Credit,Processing,9a56743b-9605-402c-a166-ca658ee4e186,N
7474-2421-1771-5866,2022-02-18,Duty Free Stores,5309,62,Credit,Cleared,434ee176-1b0e-4b76-b1c0-0a557447ead6,N
1532-0037-7363-6872,2022-04-30,Discount Store,5310,1433,Debit,Cleared,3232b5cb-8c38-432c-8869-985713ae179d,N
0022-1236-4331-4884,2022-04-08,Department Stores,5311,501,Debit,Cleared,fe38476b-29f5-4995-a18e-02604ecd82d6,N
1114-1286-2836-3057,2022-05-08,Variety Stores,5331,2450,Debit,Cleared,5afafa61-ef14-4801-a292-ec99dbdf5397,N
6525-6177-1224-4636,2022-03-30,Miscellaneous General Merchandise,5399,152,Debit,Cleared,243efb3f-a812-4f95-9595-2617f650d32a,N
8048-2513-1414-5108,2022-05-02,Grocery Stores and Supermarkets,5411,2003,Credit,Cleared,27ea0cb7-0bf2-4a4e-ace8-9404cd11514c,N
3446-0204-0520-0856,2022-04-03,Freezer & Locker Meat Provisions,5422,1374,Credit,Cleared,14b23a35-f626-456d-9ac8-6c05b5ed0a0b,N
7571-7324-7876-6810,2022-02-23,"Candy, Nut, and Confectionary Stores",5441,1266,Debit,Cleared,67317379-24bd-46be-80cd-10f350c8f50b,N
1283-5710-1470-8321,2022-05-08,Dairy Product Stores,5451,701,Debit,Cleared,21a3a250-58a1-4201-a759-37eef112907a,N
3234-0650-4404-1172,2022-04-16,Bakeries,5462,2509,Debit,Cleared,4c171804-554d-4ec7-891d-edec95c5782b,N
6268-4104-8135-8547,2022-02-27,Miscellaneous Food Stores-Convenience Stores and Specialty Markets,5499,3607,Debit,Cleared,810d0e94-a6f1-4c80-8943-17b41f38812e,N
0150-6226-3665-1580,2022-05-18,"Car and Truck Dealers (New and Used)- Sales, Service, Repairs, Parts, and Leasing",5511,3202,Credit,Processing,b487d3f6-940f-4c4f-8a39-0354972076c3,N
5574-6710-1602-3845,2022-03-03,"Car and Truck Dealers (Used)- Sales, Service, Repairs, Parts, and Leasing",5521,2699,Credit,Cleared,92605ea6-6717-4a7d-a0da-0ec1b951cd16,N
1177-4547-0278-4503,2022-04-04,Auto and Home Supply Stores,5531,755,Debit,Cleared,a0f26577-106c-49bb-adfa-a42727b5ef45,N
3435-4127-8278-2304,2022-05-10,Automotive Tire Stores,5532,3878,Credit,Cleared,a1dd2ad7-2624-43b8-a465-492a6b8a09dd,N
5533-3112-6666-5865,2022-05-04,Automotive Parts and Accessories Stores,5533,1003,Debit,Cleared,4f5aa170-66f5-4bf2-a467-901e438bb660,N
0022-1236-4331-4884,2022-03-25,Service Stations (with or without Ancillary Services),5541,1380,Credit,Cleared,de23c899-f8ec-4646-b317-5d4eb82bf7ce,N
5156-3222-5835-4034,2022-03-18,Automated Fuel Dispensers,5542,2408,Debit,Cleared,810c9070-0fe2-4539-8118-af02275b31d0,N
8548-3137-1813-1338,2022-03-15,Boat Dealers,5551,2844,Credit,Cleared,a8f817c1-16f9-4775-be5d-8b66407fa9ce,N
1411-3241-8383-5603,2022-04-19,"Camper, Recreational and Utility Trailer Dealers",5561,3139,Credit,Cleared,d64af2cf-142c-460c-b795-12d4449d0fc1,N
4038-7060-5125-8207,2022-03-25,Motorcycle Dealers,5571,3964,Credit,Cleared,1451f0b8-447c-4950-9a31-4d7f33a9ed21,N
6575-4613-6817-7234,2022-04-09,Motor Home Dealers,5592,142,Debit,Cleared,8b160f7c-5782-459f-b390-4c29f2c48e38,N
1127-7723-5843-6440,2022-02-25,Snowmobile Dealers,5598,2714,Debit,Cleared,4796cd18-e1d4-4486-8078-8fbeb7e25606,N
0187-0710-0358-5866,2022-04-10,"Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers --Not Elsewhere Classified",5599,2139,Debit,Processing,842765e3-de6e-4432-9d62-eb4547ebbd6c,N
5014-8505-5363-2260,2022-03-08,Men's & Boys' Clothing and Accessory Stores ,5611,2897,Debit,Cleared,6a1b1e7f-89d9-42b0-a43c-f722b40140d0,N
5156-3222-5835-4034,2022-05-14,Women's Ready-to-Wear Stores,5621,254,Debit,Cleared,eff1c786-d587-4c75-aae8-56099f365c45,N
1411-3241-8383-5603,2022-03-14,Women's Accessory and Specialty Stores,5631,2613,Debit,Cleared,39de1b3c-a88c-4b97-8725-b76b6320510c,N
1283-5710-1470-8321,2022-04-21,Children's and Infants' Wear Stores,5641,3136,Debit,Cleared,c30b87db-e463-4f04-8174-5d2483a1be30,N
1627-6537-8884-3428,2022-04-26,Family Clothing Stores,5651,487,Debit,Cleared,d7e0f815-7750-421b-85d9-5917495f3e3a,N
4704-1545-0084-8177,2022-05-15,Sports and Riding Apparel Stores,5655,2962,Credit,Processing,392b94cd-065c-4b74-8e1b-2d75ec4a44f1,N
6573-1753-6586-3283,2022-05-05,Shoe Stores,5661,2887,Credit,Cleared,2e986878-9b3c-4c06-b941-97fc826a7563,N
4202-2185-3016-1605,2022-02-23,Furriers & Fur Shops,5681,451,Debit,Processing,d5df23f0-db97-4c9a-b261-c5f6e3d8222f,N
6023-5271-2723-4718,2022-05-07,Men's and Women's Clothing Stores,5691,686,Credit,Cleared,da04ff29-1d84-4a32-8f77-67ff944417e3,N
6422-6200-5583-3432,2022-03-28,"Tailors, Seamstresses, Mending, Alterations ",5697,104,Debit,Cleared,a0a0df5d-0d4b-431a-9cf5-7bfcc14e8e61,N
7571-7324-7876-6810,2022-03-24,Wig & Toupee Shops,5698,1385,Credit,Cleared,d8aae5ff-3ab8-4257-a8ea-629cfacb3a2d,N
8673-2441-5605-2407,2022-05-07,Miscellaneous Apparel and Accessory Stores,5699,2995,Debit,Cleared,1551aa42-80f8-42e0-b6c8-3d2396014ef8,N
3128-4025-2617-0310,2022-02-17,"Furniture, Home Furnishings, and Equipment Stores, except Appliances",5712,1974,Debit,Cleared,4d7848e8-e2bc-43f0-b4a8-040cfa14f5b9,N
7742-5634-4653-4660,2022-05-19,"Floor coverings, Rugs",5713,661,Debit,Cleared,fbfc5a05-577d-4c3d-9dbd-1d5756945d85,N
1114-1286-2836-3057,2022-05-15,"Drapery, Window Covering, and Upholstery Stores",5714,1516,Debit,Cleared,6126b905-049b-40e3-b84a-e0ee15b58b94,N
3768-5806-1760-2402,2022-03-13,"Fireplaces, Fireplace Screens and Accessories Stores ",5718,1538,Debit,Cleared,e21d66c4-f23e-4899-8ee1-c4d141cf36cf,N
5261-2371-4307-3162,2022-03-16,Miscellaneous Home Furnishing Specialty Stores,5719,252,Credit,Cleared,18ba9a6b-9d86-4b9f-81f6-948b247665f2,N
7584-8057-3330-8243,2022-02-22,Household Appliance Stores,5722,232,Credit,Cleared,d32b0c66-b1e1-4a92-bb46-6f01c0d043da,N
3857-1447-6225-5173,2022-05-09,Electronics Stores,5732,3568,Credit,Cleared,cd9c0a60-627e-4ad3-adca-2cdf90bf7fa0,N
7773-4107-2232-5535,2022-02-17,"Music Stores-Musical Instruments, Pianos, and Sheet Music",5733,1212,Credit,Cleared,5e69fb7a-e9a9-444f-917c-22dad950cda0,N
6023-5271-2723-4718,2022-05-18,Computer Software Stores,5734,3396,Debit,Cleared,9ae7fe42-4c06-47e7-9242-e88b1cdf04fe,N
7742-5634-4653-4660,2022-05-08,Record Stores,5735,181,Credit,Cleared,5b3f5591-cad9-4cd9-a54a-9a22af07d323,N
8436-1032-3354-5256,2022-05-05,Caterers - Prepare & Delivery,5811,532,Credit,Cleared,b2815bf2-5175-481f-8c64-f8b86700a3ee,N
2301-4826-6816-0315,2022-03-14,Eating Places and Restaurants,5812,1980,Credit,Cleared,0049b393-b4f7-4947-8085-625acf7641b7,N
8212-3112-7560-1582,2022-02-25,"Drinking Places (Alcoholic Beverages) - Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques",5813,1625,Credit,Cleared,94bf6903-32a0-4dfd-b422-eec376936fdf,N
0754-3261-0745-8353,2022-03-13,Quick Payment Service-Fast Food Restaurants,5814,2072,Credit,Cleared,1da69319-63ef-4cf9-a1d5-ea04d80881fe,N
2207-4401-2664-3036,2022-03-21,"Digital Goods – Media, Books, Movies, Music  ",5815,1120,Credit,Cleared,bbcba573-9a7d-41b7-8d45-87fc74397116,N
8520-3180-0072-7121,2022-02-26,Digital Goods – Games  ,5816,1378,Debit,Cleared,b8869ad9-5d96-483b-a10f-7bff4b902efe,N
2301-4826-6816-0315,2022-03-23,Digital Goods – Applications (Excludes Games)  ,5817,1659,Debit,Cleared,405e6c43-39f3-42bd-8dc1-c68c78d826c0,N
5660-4564-1621-2557,2022-04-25,Large Digital Goods Merchant  ,5818,1149,Debit,Cleared,87f8fcb4-7413-4ae6-9007-3e912d585094,N
5660-4564-1621-2557,2022-04-10,Drug Stores and Pharmacies,5912,1337,Debit,Cleared,2d486c2b-6b71-4029-a759-c7227bf73393,N
1162-2327-0452-3547,2022-04-02,"Package Stores--Beer, Wine, and Liquor",5921,39,Credit,Cleared,25be4d29-e6e8-43e2-978d-d332ce3ecba7,N
6575-4613-6817-7234,2022-02-22,Used Merchandise and Secondhand Stores,5931,83,Debit,Cleared,f86571fc-f770-42cd-b7ac-616691ab8fec,N
6525-6177-1224-4636,2022-03-10,Antique Shop,5932,3181,Debit,Cleared,19cecb9b-21b2-407b-934a-91fd5de78342,N
1708-2261-7773-7658,2022-04-25,Pawn Shop,5933,1327,Debit,Cleared,b935328d-58f4-422f-8803-5ff86d63fdea,N
3768-5806-1760-2402,2022-04-17,Wrecking and Salvage Yards,5935,710,Debit,Cleared,a9a38c9c-f146-4e28-8ff8-1c3745220bce,N
1634-5504-8266-4571,2022-03-05,Antique Reproduction Stores,5937,3040,Credit,Cleared,f4c46d87-058a-49e1-a103-53bd04e93f51,N
4038-7060-5125-8207,2022-04-12,Bicycle Shop-Sales and Services,5940,594,Credit,Cleared,1f6247fd-be88-46e2-bb40-3a940d54a8dd,N
5014-8505-5363-2260,2022-03-07,Sporting Goods Stores,5941,3936,Debit,Cleared,786ca307-4e23-4367-9d77-e2cc45484f82,N
6575-4613-6817-7234,2022-05-06,Book Stores,5942,3011,Debit,Cleared,ef500b47-21a8-41a1-9dc3-1f27660b6c9a,N
8030-1321-5778-0363,2022-04-17,"Stationery, Office and School Supply Stores",5943,3224,Debit,Cleared,01351a80-46f5-4908-86a4-d95400e84c6e,N
8673-2441-5605-2407,2022-05-03,"Jewelry, Watch, Clock, and Silverware Stores",5944,2516,Debit,Cleared,a6b658fe-b87a-46ec-891c-79f224a6b82a,N
1710-0781-4286-7831,2022-03-05,"Hobby, Toy and Game Stores",5945,746,Debit,Cleared,ba1b6b46-b31a-4913-9448-396b58ffcdc5,N
2632-3710-8458-8750,2022-04-13,Camera and Photographic Supply Stores,5946,3667,Debit,Cleared,175d0364-fc9a-4a64-89ee-7eefbfad086c,N
6268-4104-8135-8547,2022-03-11,"Gift, Card, Novelty, and Souvenir Stores",5947,1468,Debit,Cleared,8f75ad06-a239-4df1-96ad-19b4fbc8d244,N
1710-0781-4286-7831,2022-04-14,Luggage and Leather Goods Stores,5948,1370,Credit,Cleared,28d92f69-c347-46a8-aec0-ed8c4b2525f9,N
4056-8121-6765-2045,2022-03-16,"Sewing, Needlework, Fabric, and Piece Good Stores ",5949,1448,Credit,Cleared,c0e52ff2-5d30-489c-b13b-5b8972484cec,N
7050-8348-2865-2376,2022-05-18,Glassware and Crystal Stores,5950,2165,Credit,Cleared,189b02fd-afcb-4e11-b1af-9ad5f90067bf,N
2301-4826-6816-0315,2022-04-09,Direct Marketing Insurance Services,5960,1266,Debit,Cleared,6bd33630-46c1-40f2-a179-94b0594e0fe3,N
5574-6710-1602-3845,2022-02-27,Mail Order,5961,824,Credit,Cleared,28d33361-5d72-4b29-84f5-c855bc0f6633,N
5156-3222-5835-4034,2022-04-01,Direct Marketing -- Travel Related Arrangement Services,5962,1588,Credit,Cleared,1148504b-df4d-437c-9392-4332666a52c4,N
0363-6237-2162-3151,2022-04-12,Direct Selling Establishments/Door to Door Sales ,5963,3611,Debit,Cleared,fffa8eba-932b-488d-903a-f6dfdd946dc0,N
6057-5114-2211-7264,2022-04-12,Catalog Merchant,5964,3668,Credit,Cleared,619c8772-8856-4bd1-8d43-00f91dc16fd6,N
6560-1330-8228-6141,2022-05-12,Combined Catalog and Retail Merchant,5965,1697,Debit,Cleared,e4d00a63-b2e0-4860-b5f1-a2371f2986b8,N
7584-8057-3330-8243,2022-03-08,Outbound Telemarketing Merchant,5966,436,Debit,Cleared,fab8e629-42b1-426b-b9f5-0ea34724ffd5,N
2187-5166-8816-7885,2022-04-09,Direct Marketing -- Inbound Telemarketing Merchants,5967,988,Credit,Cleared,78e31399-ddf0-4810-b11a-0b5665dde903,N
5722-8688-5154-2618,2022-03-14,Continuity/Subscription Merchants,5968,1724,Credit,Cleared,36038ef8-3b67-43de-9dd3-000102956a08,N
5156-3222-5835-4034,2022-04-09,Direct Marketing/Direct Marketers--Not Elsewhere Classified,5969,2911,Credit,Cleared,ca4683f8-6fc6-4969-ace5-673e17d71182,N
5014-8505-5363-2260,2022-03-15,Artist Supply and Craft Stores,5970,1525,Debit,Cleared,9e958082-bd49-4a4a-8525-16405d3d4a69,N
7880-6862-7238-4167,2022-04-24,Art Dealers and Galleries,5971,397,Debit,Cleared,08b560cb-cf04-4614-8c9e-177c833ff337,N
0237-1003-1471-2015,2022-04-02,Stamp and Coin Stores,5972,3959,Debit,Processing,62c2b326-8261-4dc7-b0d1-3ab62209974c,N
0412-4446-5072-7874,2022-04-06,Religious Goods Stores,5973,1918,Credit,Cleared,8cc272f6-9406-45cf-86cd-ee89840ba7bc,N
7571-7324-7876-6810,2022-04-20,"Hearing Aids--Sales, Service, and Supplies",5975,3190,Debit,Cleared,270900c4-43df-43b2-91a5-68fadcb656b4,N
6573-1753-6586-3283,2022-04-19,Orthopedic Goods and Prosthetic Devices,5976,148,Debit,Cleared,17959973-78ba-4305-88b5-9a02059f7a98,N
4463-4748-6462-2744,2022-03-28,Cosmetic Stores,5977,3468,Debit,Cleared,8f68ff8f-ac11-4ef7-bd89-3a54c3766695,N
1127-7723-5843-6440,2022-03-08,"Typewriter Stores--Sales, Service, and Rentals",5978,743,Credit,Processing,ffaa99d6-fc54-4d97-8d43-790b6fa06035,N
1177-4547-0278-4503,2022-02-20,"Fuel Dealers--Fuel Oil, Wood, Coal, and Liquefied Petroleum",5983,1696,Credit,Cleared,57ebbbf2-89c5-4b0f-afee-27090b6914fb,N
7427-4263-8377-2751,2022-03-11,Florists,5992,1182,Credit,Cleared,761fd38a-8636-4cf1-b7a9-07ac1f3c0c56,N
4837-7356-8265-4327,2022-04-13,Cigar Stores & Stands,5993,3019,Debit,Cleared,78af7497-96bf-4b21-a13d-2b6deb5de320,N
5014-8505-5363-2260,2022-02-24,News Dealers & Newsstands,5994,832,Debit,Cleared,d4aa47cc-0100-41d3-bae7-4b356a52cbe1,N
5112-5401-3048-6385,2022-05-14,"Pet Shops, Pet Food, and Supplies",5995,2298,Debit,Cleared,774aa1cd-439c-4dab-823d-2f20c631ee86,N
6057-5114-2211-7264,2022-03-30,"Swimming Pools--Sales, Supplies, and Services",5996,1360,Debit,Cleared,a4728436-a582-4a0c-bab0-6d3b5c36e170,N
1411-3241-8383-5603,2022-05-03,Electric Razor Stores Sales & Services,5997,3529,Debit,Cleared,e33c878e-ea75-4a74-b773-6e35e0312841,N
5574-6710-1602-3845,2022-02-19,Tent and Awning Stores,5998,1685,Debit,Cleared,d3c7ebb0-2601-416f-a521-643a5608236b,N
5574-6710-1602-3845,2022-05-07,Miscellaneous & Specialty Retail Stores,5999,1705,Debit,Cleared,3b00a43b-dadf-46d2-a020-78a970aa8c94,N
